,NonFraud_Median,Fraud_Median,Fraud_to_NonFraud_Ratio
ClaimCount,27.0,155.5,5.7592592592592595
UniqueBeneficiaries,22.0,117.0,5.318181818181818
ReimbursementTotal,15055.0,373450.0,24.805712387910994
ReimbursementPerClaim,332.19208833879384,2576.4800841514725,7.75599472292004
ClaimsPerBeneficiary,1.0833333333333333,1.192113442113442,1.1004124081047157
InpatientClaimRatio,0.0,0.21767743241875065,
DiagnosisCountMean,2.7637626262626265,3.7797566787909194,1.3676126317339339
ProcedureCountMean,0.0,0.17416582406471182,
ChronicConditionMean,4.5,4.716256908473568,1.048057090771904
